date,ASML.AS,TSM
2022-10-03,426.4911193847656,65.53378295898438
2022-10-04,453.1166687011719,68.90274047851562
2022-10-05,450.84552001953125,70.48312377929688
2022-10-06,460.5099182128906,70.36009979248047
2022-10-07,432.241455078125,66.00694274902344
2022-10-10,418.1313781738281,63.82091522216797
2022-10-11,400.9770202636719,60.04502868652344
2022-10-12,400.155517578125,60.66960906982422
2022-10-13,397.49774169921875,63.04492950439453
2022-10-14,384.1126403808594,60.489803314208984
2022-10-17,387.10858154296875,61.40775680541992
2022-10-18,390.0563049316406,60.29107666015625
2022-10-19,421.8521728515625,60.2437629699707
2022-10-20,437.12200927734375,60.16805648803711
2022-10-21,444.128662109375,60.32892227172851
2022-10-24,461.9112548828125,58.00094223022461
2022-10-25,479.3555603027344,57.85899353027344
2022-10-26,474.3783874511719,57.575096130371094
2022-10-27,467.13006591796875,57.67919158935547
2022-10-28,464.2790222167969,58.68230819702149
2022-10-31,461.9595947265625,58.24698638916016
2022-11-01,465.4870910644531,58.27538299560547
2022-11-02,456.5475158691406,57.27226638793945
2022-11-03,439.7503356933594,57.04513931274414
2022-11-04,450.1213073730469,59.12708282470703
2022-11-07,462.1400451660156,59.392051696777344
2022-11-08,486.17755126953125,61.53077697753906
2022-11-09,480.6528015136719,61.5118522644043
2022-11-10,527.4677734375,67.0384521484375
2022-11-11,534.5433959960938,69.86801147460938
2022-11-14,547.9190673828125,68.89327239990234
2022-11-15,561.4885864257812,76.14220428466797
2022-11-16,541.52197265625,75.18640899658203
2022-11-17,547.6282348632812,77.10748291015625
2022-11-18,553.83154296875,77.85506439208984
2022-11-21,546.271240234375,75.64065551757812
2022-11-22,552.9591674804688,78.110595703125
2022-11-23,565.7532958984375,77.57118225097656
2022-11-25,556.4484252929688,77.0317611694336
2022-11-28,549.3728637695312,74.96874237060547
2022-11-29,542.5881958007812,75.0728530883789
2022-11-30,543.84814453125,78.5269775390625
2022-12-01,564.2993774414062,78.24307250976562
2022-12-02,557.0299682617188,77.12638854980469
2022-12-05,554.8007202148438,77.23995208740234
2022-12-06,550.3421020507812,75.29048919677734
2022-12-07,547.8221435546875,74.98767852783203
2022-12-08,553.2499389648438,76.4639663696289
2022-12-09,559.5499877929688,76.35987854003906
2022-12-12,551.602294921875,76.11383819580078
2022-12-13,574.961181640625,76.18952178955078
2022-12-14,567.5947875976562,75.72582244873047
