date,005930.KS,TSM
2022-10-03,,65.53378295898438
2022-10-04,51380.37109375,68.90274047851562
2022-10-05,52125.0078125,70.48312377929688
2022-10-06,52404.25,70.36009979248047
2022-10-07,52311.17578125,66.00694274902344
2022-10-10,52311.17578125,63.82091522216797
2022-10-11,51566.53125,60.04502868652344
2022-10-12,51938.85546875,60.66960906982422
2022-10-13,51380.37109375,63.04492950439453
2022-10-14,52404.25,60.48980331420898
2022-10-17,52683.4921875,61.40775680541992
2022-10-18,52590.4140625,60.29107666015625
2022-10-19,51938.85546875,60.2437629699707
2022-10-20,51659.60546875,60.16805648803711
2022-10-21,52031.92578125,60.32892227172852
2022-10-24,53521.21875,58.00094223022461
2022-10-25,53707.38671875,57.85899353027344
2022-10-26,55289.7421875,57.57509613037109
2022-10-27,55382.83203125,57.67919158935547
2022-10-28,53335.05859375,58.68230819702149
2022-10-31,55289.7421875,58.24698638916016
2022-11-01,55848.234375,58.27538299560547
2022-11-02,55475.90625,57.27226638793945
2022-11-03,55103.59375,57.04513931274414
2022-11-04,55289.7421875,59.12708282470703
2022-11-07,56034.390625,59.392051696777344
2022-11-08,57523.6796875,61.53077697753906
2022-11-09,57709.8359375,61.5118522644043
2022-11-10,56220.55078125,67.0384521484375
2022-11-11,58547.5625,69.86801147460938
2022-11-14,57616.75390625,68.89327239990234
2022-11-15,58082.1640625,76.14220428466797
2022-11-16,58361.3984375,75.18640899658203
2022-11-17,57151.35546875,77.10748291015625
2022-11-18,57523.6796875,77.85506439208984
2022-11-21,57151.35546875,75.64065551757812
2022-11-22,56406.71484375,78.110595703125
2022-11-23,56779.02734375,77.57118225097656
2022-11-25,56779.02734375,77.0317611694336
2022-11-28,55941.31640625,74.96874237060547
2022-11-29,56406.71484375,75.0728530883789
2022-11-30,57896.0,78.5269775390625
2022-12-01,58268.3203125,78.24307250976562
2022-12-02,56220.55078125,77.12638854980469
2022-12-05,56127.47265625,77.23995208740234
2022-12-06,55103.59375,75.29048919677734
2022-12-07,54824.34765625,74.98767852783203
2022-12-08,55103.59375,76.4639663696289
2022-12-09,56220.55078125,76.35987854003906
2022-12-12,55382.83203125,76.11383819580078
2022-12-13,55568.9921875,76.18952178955078
2022-12-14,56313.62890625,75.72582244873047
2022-12-15,55196.671875,73.86143493652344
2022-12-16,55382.83203125,72.6147232055664
2022-12-19,55382.83203125,72.42438507080078
2022-12-20,54545.109375,71.96756744384766
2022-12-21,53986.625,73.41413116455078
2022-12-22,55010.50390625,71.64397430419922
2022-12-23,54079.7109375,71.27281188964844
2022-12-27,54079.7109375,70.73035430908203
2022-12-28,53012.88671875,69.53120422363281
2022-12-29,51795.28125,72.3292007446289
2022-12-30,51795.28125,70.89213562011719
2023-01-03,51888.93359375,70.45435333251953
2023-01-04,54136.83984375,72.63375091552734
2023-01-05,54511.48828125,72.07225799560547
2023-01-06,55260.7890625,74.2992172241211
2023-01-09,56853.04296875,76.43102264404297
2023-01-10,56572.0625,77.34466552734375
2023-01-11,56665.71875,77.83003234863281
2023-01-12,56665.71875,82.79790496826172
2023-01-13,56946.7109375,82.6075668334961
2023-01-17,57134.02734375,84.6917724609375
2023-01-18,56572.0625,85.14859771728516
2023-01-19,57602.33984375,84.13030242919922
2023-01-20,57883.3359375,86.63325500488281
2023-01-23,57883.3359375,91.03963470458984
2023-01-24,,89.99275207519531
2023-01-25,59288.2734375,87.94660949707031
2023-01-26,59756.58203125,88.93637084960938
2023-01-27,60505.87890625,88.79362487792969
2023-01-30,59288.2734375,88.63182067871094
2023-01-31,57508.6875,88.25115203857422
