date,SPY,EWJ,EWY,EZU,TSM
2022-10-03,349.8431701660156,45.4178466796875,44.53422164916992,29.954267501831055,65.53378295898438
2022-10-04,360.6836242675781,46.869972229003906,46.63124465942383,31.574155807495117,68.90274047851562
2022-10-05,359.8439025878906,46.37680435180664,45.8310661315918,31.125709533691406,70.48312377929688
2022-10-06,356.1318054199219,45.95669174194336,46.180564880371094,30.439315795898438,70.36009979248047
2022-10-07,346.1979675292969,45.49091339111328,45.39878463745117,29.734617233276367,66.00694274902344
2022-10-10,343.5545349121094,45.30825424194336,44.791748046875,29.624792098999023,63.82091522216797
2022-10-11,341.37884521484375,44.84247589111328,44.718170166015625,29.24956703186035,60.04502868652344
2022-10-12,340.2528076171875,44.513694763183594,45.178043365478516,29.15804672241211,60.66960906982422
2022-10-13,349.232421875,44.90640640258789,45.15045166015625,30.018327713012695,63.04492950439453
2022-10-14,341.27386474609375,44.257965087890625,44.70896911621094,29.606491088867188,60.489803314208984
2022-10-17,350.0436096191406,44.70548629760742,46.11618423461914,30.668115615844727,61.40775680541992
2022-10-18,354.156494140625,44.55022048950195,46.1713752746582,31.098255157470703,60.29107666015625
2022-10-19,351.6467590332031,44.27623748779297,45.57353210449219,30.640661239624023,60.2437629699707
2022-10-20,348.6980895996094,44.23970413208008,45.56433868408203,30.649812698364258,60.16805648803711
2022-10-21,357.1719970703125,45.01599884033203,46.30013656616211,31.26299285888672,60.328922271728516
2022-10-24,361.54248046875,44.723751068115234,45.76668167114258,31.546701431274414,58.00094223022461
2022-10-25,367.3157958984375,45.74663543701172,46.539268493652344,32.33376693725586,57.85899353027344
2022-10-26,364.5483703613281,46.01148986816406,47.39463806152344,32.66323471069336,57.575096130371094
2022-10-27,362.6016845703125,45.43610763549805,47.367042541503906,32.32461166381836,57.67919158935547
2022-10-28,371.228271484375,45.92015075683594,47.66136169433594,32.6998405456543,58.682308197021484
2022-10-31,368.54681396484375,45.65530776977539,47.652164459228516,32.223941802978516,58.246986389160156
2022-11-01,366.93402099609375,46.00235366821289,48.47993469238281,32.498497009277344,58.27538299560547
2022-11-02,357.7253723144531,45.70096206665039,47.58778762817383,31.738893508911133,57.27226638793945
2022-11-03,354.0419616699219,45.57310485839844,47.85450744628906,31.4185733795166,57.04513931274414
2022-11-04,359.13775634765625,46.45899200439453,49.60203552246094,33.05677032470703,59.12708282470703
2022-11-07,362.5731201171875,46.723846435546875,50.319435119628906,33.29472351074219,59.392051696777344
2022-11-08,364.52935791015625,47.39968490600586,51.43233108520508,33.70655822753906,61.53077697753906
2022-11-09,357.019287109375,46.59599304199219,51.3587532043457,33.29472351074219,61.5118522644043
2022-11-10,376.63897705078125,49.19886016845703,53.69491195678711,35.25323486328125,67.0384521484375
2022-11-11,380.2842712402344,50.17607879638672,55.8563232421875,36.15011978149414,69.86801147460938
2022-11-14,377.04931640625,49.49111557006836,54.7894172668457,35.80234146118164,68.89327239990234
2022-11-15,380.2651672363281,49.81990051269531,55.516014099121094,36.02199935913086,76.14220428466797
2022-11-16,377.36419677734375,49.64636993408203,53.869667053222656,36.02199935913086,75.18640899658203
2022-11-17,376.2095031738281,49.55504608154297,53.051090240478516,36.0494499206543,77.10748291015625
2022-11-18,377.91766357421875,49.536781311035156,53.391395568847656,36.159271240234375,77.85506439208984
2022-11-21,376.54351806640625,49.134925842285156,51.92899703979492,35.82065200805664,75.64065551757812
2022-11-22,381.61065673828125,50.18521499633789,52.29689407348633,36.28740310668945,78.110595703125
2022-11-23,384.0155334472656,50.76058578491211,53.29942321777344,36.589412689208984,77.57118225097656
2022-11-25,383.92950439453125,51.107635498046875,53.22583770751953,36.79075241088867,77.0317611694336
2022-11-28,377.80322265625,50.71492004394531,52.27850341796875,36.20502853393555,74.96874237060547
2022-11-29,377.1542053222656,50.404396057128906,53.67652130126953,36.31486129760742,75.0728530883789
2022-11-30,389.0348815917969,50.961509704589844,55.828731536865234,37.10192108154297,78.5269775390625
